# This file associates gift text filenames with image URLs.
# Format: gift_file_name|image_url
Burn.txt|https://images.steamusercontent.com/ugc/18673004980002330/BFBEA61883291D2306065742B428B69227E3C020/
Ashes_to_Ashes.txt|https://images.steamusercontent.com/ugc/2297462877485509648/D4394FE1E3E57A8F026376854FB0006A4EF0EC65/
Melted_Paraffin.txt|https://images.steamusercontent.com/ugc/2500137370208082499/96731D3F21023264FF35B1F9D858CD940EAD382C/
Burning_Intellect.txt|https://images.steamusercontent.com/ugc/2297462877485509695/6CE666CB66AF191A9809EB8DADC2CABBF6F51C1C/
Polarization.txt|https://images.steamusercontent.com/ugc/2500137370208082698/7F8EE096D362C4C99D3C150C378CA3E070703EAA/
Hellterfly's_Dream.txt|https://images.steamusercontent.com/ugc/2297462877485509929/7352137C015FE8723478860E55CA2AEEF652854C/
Decamillennial_Hearthflame.txt|https://images.steamusercontent.com/ugc/18673421387676300/2E9986B4FAFACDEAFE8CA095BE86CD76E6882903/
Fiery_Down.txt|https://images.steamusercontent.com/ugc/2297462877485509838/2C4121B17E5B5BE26CA5D26B08795D1CA969768A/
Decamillenial_Stewpot.txt|https://images.steamusercontent.com/ugc/18679408337903932/A3CECB6C322FE4E8076CAC18E288F93DF86D752E/
Pain_of_Stifled_Rage.txt|https://images.steamusercontent.com/ugc/2500137370208082691/1B581E51AE561877AF4B3DBCDF5B1189B4BDD026/
Pinpoint_Logic_Circuit.txt|https://images.steamusercontent.com/ugc/2297462877485510085/C3EAF5878C28C805991922470D7D9B48BD813F88/
Embers.txt|https://images.steamusercontent.com/ugc/18678079110126881/BE04D523BEEF04C703322239B2E5B9FC249DFDA5/
Hot_'n_Juicy_Drumstick.txt|https://images.steamusercontent.com/ugc/2500137370208082269/D354CBDCDF3F1F42E52BEE31DE80DDEC2AEEC80E/
Re-Ignition_Plug.txt|https://images.steamusercontent.com/ugc/18678079110126885/1A6081DC07BCB3F761BC536E749FB9FE0E1CFDBC/
Dust_to_Dust.txt|https://images.steamusercontent.com/ugc/2297462877485509775/A0390F1BF6D5DD6E6EE7178CFDC2AE63A14EAEDD/
Ardent_Flower.txt|https://images.steamusercontent.com/ugc/2500137370208082682/3AACD3C22CF7D170789D5D2EE48A89A098857F37/
Combustion_Gloves.txt|https://images.steamusercontent.com/ugc/18678079110126891/AE32232F096873A3AAD1FEB62B99BBCEBEF6D455/
Charred_Disk.txt|https://images.steamusercontent.com/ugc/2297462877485509711/A93928B38CEABD0EE13B2643E8A6B788ED78BE32/
Glimpse_of_Flames.txt|https://images.steamusercontent.com/ugc/2297462877485509865/06D525533E17EB13C3478DC569B650F8FD46EEEF/
Unhatched_Embers.txt|https://images.steamusercontent.com/ugc/18673421387676442/EEDE05ECCDE32565DF2475A682F19D36990FAC97/
Fragment_of_Hellfire.txt|https://images.steamusercontent.com/ugc/2500137370208082413/DF0A9C7AEAD318E0636EB78D63B97288D1FBE157/
Secret_Cookbook.txt|https://images.steamusercontent.com/ugc/18679408337903930/3F1CB5614C85B2B54A15BECBB6F6906F99EBE73D/
Purloined_Flame.txt|https://images.steamusercontent.com/ugc/18673421387676304/77F40A7D686BFB4E1DF101B7E2006A22266A3EEA/
Soothe_the_Dead.txt|https://images.steamusercontent.com/ugc/2297462877486798067/2511A8E1D5123EEB0D69A44A89783470EE18FC5D/
Bleed.txt|https://images.steamusercontent.com/ugc/18673004980002339/9D210D82B64390137ADE5B40A5B85347C670B133/
Grimy_Iron_Stake.txt|https://images.steamusercontent.com/ugc/2297462877485509917/E1622B6F9D21C9824C57B07EB2B9FE53C0E5FB03/
Arrested_Hymn.txt|https://images.steamusercontent.com/ugc/2500137370208082284/5E2D2996E5517FB5D1D8C0892DE25B2ADC393886/
Rusted_Muzzle.txt|https://images.steamusercontent.com/ugc/2297462877486798062/ECE50AEB964F6A5A73FCB12323AA87D888725C7A/
Tangled_Bundle.txt|https://images.steamusercontent.com/ugc/2500137370208082643/7B3EF7ED671E987C1DDBC5F7E0F29D8AF49FE9FC/
Wound_Clerid.txt|https://images.steamusercontent.com/ugc/2297462877485510229/6FCB6D7D5DD035499FF77B44FE0A09FED25B7FC3/
Millarca.txt|https://images.steamusercontent.com/ugc/18679408337903924/75E2578435FF03996D02DBC67433FCFFC0570E2E/
Nagel_und_Hammer_Scriptures.txt|https://images.steamusercontent.com/ugc/2500137370208082519/327FFE0C1258EB01F508789BEB8E6CD5CD9C4C52/
Filial_Love.txt|https://images.steamusercontent.com/ugc/2404447294186990319/78E8E8BE55370E1B7E46A29A8DB39AF1BA8073D6/
Contaminated_Needle_&_Thread.txt|https://images.steamusercontent.com/ugc/2500137370208082260/A056CE2A3C16B4FBFA73C25870D8E8BD3781CE2E/
Squalidity.txt|https://images.steamusercontent.com/ugc/2500137370208082633/03B4A1BA44D13112C7D23B76BCA514A277074887/
White_Gossypium.txt|https://images.steamusercontent.com/ugc/2297462877485510224/D6C457BFF5A5559E3040B3AE1957833B2CE40F4F/
Little_and_To-Be-Naughty_Plushie.txt|https://images.steamusercontent.com/ugc/2297462877485509976/AD268AE811E30E4272C0CB68EC2F52A2C3CF2383/
Awe.txt|https://images.steamusercontent.com/ugc/2500137370208082287/0BA0E27BF83F64194D8EB201DD4958CBA2799125/
Smokes_and_Wires.txt|https://images.steamusercontent.com/ugc/2297462877485510143/70808DF7641B8E83C1D012697BBC1F9D0D5E5E30/
Rusted_Cutting_Knife.txt|https://images.steamusercontent.com/ugc/2297462877485510128/8DC1716C6AB9EB32DD711F0C4CB277BFF0713FF5/
Fractured_Blade.txt|https://images.steamusercontent.com/ugc/5947636724339871008/3E66779B95C9CC808BD3352DC6DDC4DB51FD840C/
La_Manchaland_All-day_Pass.txt|https://images.steamusercontent.com/ugc/18673421387676421/2282A863D6B49D3B65BC53779FCFF7B010EED38A/
Contained_Maggots.txt|https://images.steamusercontent.com/ugc/2500137370208082340/F49A842A893B317DDCC1B3FA1916990F4C56F8D3/
Ruptured_Blood_Sac.txt|https://images.steamusercontent.com/ugc/18673421387676307/075D5BDA2DBDA16A2F1DAE332A77B6E323BC75BD/
Token_of_Victory.txt|https://images.steamusercontent.com/ugc/18673421387676422/4BE927CE1786DB304024A3C3FA74242C70D55665/
Respite.txt|https://images.steamusercontent.com/ugc/2500137370208082570/C61850F8B0CF95B8E61EE2BD89BB2168911E56F1/
Red-Stained_Gossypium.txt|https://images.steamusercontent.com/ugc/2297462877485510120/08C925A98AC5C54A8E6FBB4099C091F0B50CAB6B/
Fragment_of_Allurement.txt|https://images.steamusercontent.com/ugc/2500137370208082391/CAFF17AC975CB1BF4F588AA97B176DB62121AE7A/
Mask_of_the_Parade.txt|https://images.steamusercontent.com/ugc/18673421387676425/B63C810FE5E00CD905508120C5683B24372B9C37/
Devotion.txt|https://images.steamusercontent.com/ugc/18679408337903917/9333308279656F052493471736C54AB1057B0BCF/
Hemorrhagic_Shock.txt|https://images.steamusercontent.com/ugc/18673421387676310/8236C097F18604BA0FE9AADDE568E18A7DE25FEA/
Resplendence.txt|https://images.steamusercontent.com/ugc/18679408338695849/97352812A9D916E5D3FD201D38B669132C86C75F/
Bloody_Mist.txt|https://images.steamusercontent.com/ugc/2297462877486798029/A0DEAB891A20733F242014624D680B2E71E13C0B/
Wholeness.txt|https://images.steamusercontent.com/ugc/2500137370208082678/057FA5DFCE797A1973A1B2FDA8A9E0723FB51575/
Tremor.txt|https://images.steamusercontent.com/ugc/18673004980002336/D50FE3173BC7E871653455279B54204DD1971F05/
Oil-Gunked_Spanner.txt|https://images.steamusercontent.com/ugc/2500137370208082529/F052FEF64B5408F83A933A6FEA4D5071A5BD6490/
Green_Spirit.txt|https://images.steamusercontent.com/ugc/2297462877485509896/7672EFD8DDE3CA7FEF3CF8CF23547B0F4DC00479/
Gemstone_Oscillator.txt|https://images.steamusercontent.com/ugc/18673421387676311/905770ED6E588C73C352E629426CDC245BF10A15/
Venomous_Skin.txt|https://images.steamusercontent.com/ugc/2500137370208082670/B1B5F3ABECEB51A8DA65C73DAE96785F7477CDE1/
Nixie_Divergence.txt|https://images.steamusercontent.com/ugc/2297462877485510037/6D084B54C21AE301E27AB1643CFA9C119A4499F7/
Oscillating_Bracelet.txt|https://images.steamusercontent.com/ugc/2297462877485510042/0B3765DDD3E888438BB2BE48292A2DCC023E56C7/
Silver_Watch_Case.txt|https://images.steamusercontent.com/ugc/2477623897025702991/B809640A5EBCADD5E44D13E039C6E7ABA645ED84/
Sour_Liquor_Aroma.txt|https://images.steamusercontent.com/ugc/2500137370208082596/F70A75B73BDEE998EBC807F9A3E9CD18DD4C4550/
Etched_Clock_Hands.txt|https://images.steamusercontent.com/ugc/2477623897025702937/249ED9E8B7655AD56C266968F4725A43BAB03784/
Reverberation.txt|https://images.steamusercontent.com/ugc/2297462877485510123/09B3594727AA57321695054B96EB9F5E9D62224C/
Faded_Watch_Case.txt|https://images.steamusercontent.com/ugc/2477623897025702944/18A9D76FC7EBA50094651F553D7A13EA934B72A4/
Mirror_Tactile_Synaesthesia.txt|https://images.steamusercontent.com/ugc/2500137370208082504/D7AC625D9B61BC40551F1D2D34B909115B8FB9C3/
Wobbling_Keg.txt|https://images.steamusercontent.com/ugc/18673421387676313/95E2FE8B7600F35FFB1CCF96483C02C02D34EDF4/
Rusted_Clock_Hands.txt|https://images.steamusercontent.com/ugc/2477623897025702986/7DE54D69D8DE9132F37BA916A3B781C494CB5BAF/
Interlocked_Cogs.txt|https://images.steamusercontent.com/ugc/18679408337903909/FB37EA7566113CFAE3D084C59BE380751E5F448E/
Prepaid_Time_Receipt.txt|https://images.steamusercontent.com/ugc/2477623897025702982/8EC926DBF3BCEA671D1EABFACDBBA3732882FBC4/
Bio-Venom_Vial.txt|https://images.steamusercontent.com/ugc/2500137370208082292/32819FE23CB75B4577719F3C81C69E0290CA89A8/
Melted_Eyeball.txt|https://images.steamusercontent.com/ugc/2297462877485510009/48890F62922668FD7C23EF27D9034C89C7866B71/
Clockwork_Spring.txt|https://images.steamusercontent.com/ugc/2500137370208082330/0640C6A871D4EA44CED2178255EA9533D6C7F834/
Warning_Notice.txt|https://images.steamusercontent.com/ugc/2477623897025702997/E376124D45341DA2C926AF3543670D728C517F7A/
